City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tela,HN,2021-02-03 06:28:37,15.7833,-87.45,66.2,77,20,3.44
68,Hithadhoo,MV,2021-02-03 06:26:40,-0.6,73.0833,82.45,68,54,3.71
69,Mehtar Lam,AF,2021-02-03 06:28:38,34.6714,70.2094,58.12,33,99,1.99
70,Samthar,IN,2021-02-03 06:28:38,25.85,78.9167,77.18,23,6,6.6
71,Bethel,US,2021-02-03 06:26:15,41.3712,-73.414,26.6,74,90,10.36
72,Le Vauclin,MQ,2021-02-03 06:28:33,14.5452,-60.8388,73.4,88,75,4.61
73,Zhigansk,RU,2021-02-03 06:26:31,66.7697,123.3711,-31.99,83,100,20.31
74,Kaitangata,NZ,2021-02-03 06:26:35,-46.2817,169.8464,59.0,61,42,10.0
75,Leshukonskoye,RU,2021-02-03 06:28:38,64.8989,45.7622,12.42,96,100,8.79
76,Kamenka,RU,2021-02-03 06:27:59,51.3223,42.7678,34.68,99,100,6.91
77,Trincomalee,LK,2021-02-03 06:28:38,8.5711,81.2335,79.9,73,94,16.06
78,San Martin,AR,2021-02-03 06:28:38,-33.081,-68.4681,60.8,77,0,3.44
79,Xining,CN,2021-02-03 06:28:23,36.6167,101.7667,33.94,49,0,3.98
80,Fort Nelson,CA,2021-02-03 06:28:38,58.8053,-122.7002,-9.4,70,90,6.91
81,Rikitea,PF,2021-02-03 06:26:15,-23.1203,-134.9692,77.43,79,55,16.89
82,Pangody,RU,2021-02-03 06:28:39,65.85,74.4859,3.04,95,79,2.42
83,Talnakh,RU,2021-02-03 06:26:34,69.4865,88.3972,-16.29,79,96,1.63
84,Yulara,AU,2021-02-03 06:22:30,-25.2406,130.9889,98.6,14,33,5.75
85,Lagoa,PT,2021-02-03 06:26:44,39.05,-27.9833,55.15,69,40,33.53
86,Yellowknife,CA,2021-02-03 06:24:47,62.456,-114.3525,-14.8,70,90,5.75
87,Ahipara,NZ,2021-02-03 06:28:35,-35.1667,173.1667,69.01,64,8,6.06
88,Kapaa,US,2021-02-03 06:26:14,22.0752,-159.319,73.4,73,40,13.8
89,Cape Town,ZA,2021-02-03 06:23:00,-33.9258,18.4232,71.01,77,0,18.41
90,Tambura,SS,2021-02-03 06:28:40,5.6,27.4667,79.59,29,10,2.62
91,Port Elizabeth,ZA,2021-02-03 06:26:27,-33.918,25.5701,78.8,50,0,11.5
92,Raudeberg,NO,2021-02-03 06:28:20,61.9875,5.1352,24.01,80,0,5.86
93,Shingu,JP,2021-02-03 06:27:15,33.7333,135.9833,46.4,42,20,16.11
