City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Fresnillo,MX,75.2,clear sky,23.1667,-102.8833,
363,Manggar,ID,80.22,broken clouds,-2.8833,108.2667,
364,Kpandae,GH,85.59,broken clouds,8.4689,-0.0113,
370,Touros,BR,78.8,clear sky,-5.1989,-35.4608,
373,Palauig,PH,79.56,broken clouds,15.435,119.9045,
378,Mitsamiouli,KM,82.63,few clouds,-11.3847,43.2844,
388,Picota,PE,84.2,scattered clouds,-6.9197,-76.3304,
395,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,
396,Gambela,ET,78.01,clear sky,8.25,34.5833,
398,Hambantota,LK,76.42,overcast clouds,6.1241,81.1185,
401,Ciudad Ojeda,VE,82.47,overcast clouds,10.1964,-71.3082,
407,Meulaboh,ID,75.79,light rain,4.1363,96.1285,
408,Beira,MZ,84.2,few clouds,-19.8436,34.8389,
410,Tanete,ID,82.06,overcast clouds,-3.9443,119.7848,
411,La Asuncion,VE,76.89,scattered clouds,11.0333,-63.8628,
417,Port Blair,IN,77.86,scattered clouds,11.6667,92.75,
418,Lahaina,US,75.2,scattered clouds,20.8783,-156.6825,
420,Manokwari,ID,81.16,overcast clouds,-0.8667,134.0833,
422,Inhambane,MZ,78.42,overcast clouds,-23.865,35.3833,
426,Gold Coast,AU,86.0,scattered clouds,-28.0,153.4333,
427,San Blas,MX,77.0,clear sky,21.5167,-105.2667,
428,Nsanje,MW,75.94,overcast clouds,-16.92,35.262,
430,Biak,ID,78.84,overcast clouds,-0.9131,122.8766,
432,Necochea,AR,75.99,clear sky,-38.5473,-58.7368,
435,Gorontalo,ID,79.84,overcast clouds,0.5412,123.0595,
437,Sambava,MG,75.79,light rain,-14.2667,50.1667,
439,Tiarei,PF,84.2,broken clouds,-17.5333,-149.3333,
449,Floriano,BR,79.39,overcast clouds,-6.7669,-43.0225,
452,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,
453,Ranong,TH,78.8,few clouds,9.9658,98.6348,
456,Sorong,ID,82.89,overcast clouds,-0.8833,131.25,
457,Vaitape,PF,81.66,clear sky,-16.5167,-151.75,
459,Brokopondo,SR,76.53,broken clouds,4.75,-55.1667,
462,West Bay,KY,79.0,broken clouds,19.3667,-81.4167,
463,Kloulklubed,PW,77.0,overcast clouds,7.0419,134.2556,
466,Blackwater,AU,83.5,broken clouds,-23.5833,148.8833,
468,Kuah,MY,80.6,few clouds,6.3265,99.8432,
471,Port Hedland,AU,78.8,scattered clouds,-20.3167,118.5667,
472,Ixtapa,MX,75.2,clear sky,20.7,-105.2,
476,Pocone,BR,79.57,broken clouds,-16.2567,-56.6228,
488,Labuan,MY,78.8,few clouds,5.2767,115.2417,
493,Danli,HN,82.4,few clouds,14.0333,-86.5833,
504,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,
508,Guantanamo,CU,80.6,few clouds,20.1444,-75.2092,
509,Karratha,AU,81.37,few clouds,-20.7377,116.8463,
