City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Qiongshan,CN,20.0058,110.3542,68.0,94,0,2.24,clear sky
81,Yerbogachen,RU,61.2767,108.0108,17.1,97,100,6.15,light snow
82,Itarema,BR,-2.9248,-39.9167,89.73,54,4,15.17,clear sky
83,Constitucion,CL,-35.3333,-72.4167,66.51,68,93,4.52,overcast clouds
84,Preobrazheniye,RU,42.9019,133.9064,7.12,85,0,9.8,clear sky
85,Bristol,US,41.8334,-71.1662,36.0,64,90,6.13,overcast clouds
86,Tygda,RU,53.1167,126.3333,-14.89,87,44,5.23,scattered clouds
87,Novyy Urengoy,RU,66.0833,76.6333,-3.57,92,100,19.66,light snow
88,Faanui,PF,-16.4833,-151.75,80.92,75,3,12.97,light rain
89,Anadyr,RU,64.75,177.4833,5.0,56,0,2.24,clear sky
90,Paamiut,GL,61.994,-49.6678,32.04,85,65,9.55,broken clouds
91,Kamenka,RU,51.3223,42.7678,-3.77,91,62,10.2,broken clouds
92,Mahebourg,MU,-20.4081,57.7,80.6,89,40,11.5,scattered clouds
93,Tuatapere,NZ,-46.1333,167.6833,53.65,76,94,4.74,overcast clouds
94,Puerto Escondido,MX,15.85,-97.0667,80.6,78,40,8.05,scattered clouds
95,Thompson,CA,55.7435,-97.8558,-36.4,61,75,13.8,snow
96,Kiknur,RU,57.3034,47.2011,-7.8,88,100,12.33,overcast clouds
97,New Norfolk,AU,-42.7826,147.0587,55.4,62,90,5.75,overcast clouds
98,Gezing,AT,47.9178,13.1299,39.2,81,75,8.05,broken clouds
99,Butaritari,KI,3.0707,172.7902,80.58,81,28,17.31,scattered clouds
100,Corrente,BR,-3.7367,-43.3394,93.42,41,9,4.94,clear sky
101,Road Town,VG,18.4167,-64.6167,82.4,65,20,17.27,few clouds
102,Nicoya,CR,10.1483,-85.452,84.2,58,0,3.44,clear sky
103,Mecca,SA,21.4267,39.8261,77.63,22,0,5.32,clear sky
104,Bonthe,SL,7.5264,-12.505,84.54,68,41,12.86,scattered clouds
105,Torbay,CA,47.6666,-52.7314,34.0,51,20,40.29,few clouds
106,Ulstrup,DK,56.3899,9.7935,27.0,77,93,8.99,overcast clouds
107,Beian,NO,63.6559,9.5683,23.0,86,75,8.05,broken clouds
108,Port Alfred,ZA,-33.5906,26.891,68.0,93,57,1.01,light rain
109,Dauphin,CA,51.1494,-100.0502,-27.4,62,1,14.97,clear sky
110,Saint-Paul,RE,-21.0096,55.2707,82.4,69,0,11.5,light rain
111,Vestmannaeyjar,IS,63.4427,-20.2734,37.4,75,40,24.16,scattered clouds
112,Sinazongwe,ZM,-17.2614,27.4618,82.18,72,78,7.43,broken clouds
113,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,78,75,8.05,moderate rain
114,Dargaville,NZ,-35.9333,173.8833,55.96,92,10,3.98,clear sky
115,Omsukchan,RU,62.5333,155.8,2.35,86,100,13.2,overcast clouds
116,Comodoro Rivadavia,AR,-45.8667,-67.5,60.8,72,40,8.05,scattered clouds
117,Hilo,US,19.7297,-155.09,64.4,63,20,8.05,few clouds
118,Adrar,MR,20.5022,-10.0711,72.3,21,0,17.05,clear sky
119,Kruisfontein,ZA,-34.0033,24.7314,69.01,85,100,4.0,overcast clouds
120,Palmer,US,42.1584,-72.3287,30.99,59,90,5.75,snow
121,San Patricio,US,28.017,-97.5169,60.8,67,1,6.91,clear sky
122,Victoria,HK,22.2855,114.1577,66.0,84,0,10.54,clear sky
123,Brooks,CA,50.5834,-111.8851,-20.99,75,81,1.14,broken clouds
124,Fairbanks,US,64.8378,-147.7164,-14.01,83,1,4.61,clear sky
125,Sakaiminato,JP,35.55,133.2333,42.8,93,75,4.61,broken clouds
126,Japura,ID,-0.3167,102.35,76.26,82,100,1.12,overcast clouds
127,Nanortalik,GL,60.1432,-45.2371,34.25,82,100,17.94,overcast clouds
128,Bredasdorp,ZA,-34.5322,20.0403,71.6,49,89,12.66,overcast clouds
129,Nueve De Julio,AR,-35.4444,-60.8831,93.0,34,0,3.0,clear sky
130,Yangambi,CD,0.8102,24.4336,82.65,37,100,1.48,overcast clouds
131,Noumea,NC,-22.2763,166.4572,78.01,100,0,4.68,clear sky
132,Half Moon Bay,US,37.4636,-122.4286,44.6,100,75,5.95,mist
133,Kholtoson,RU,50.2981,103.3097,2.3,88,0,4.21,clear sky
134,Cabo San Lucas,MX,22.8909,-109.9124,60.8,67,40,3.36,scattered clouds
135,Qaanaaq,GL,77.484,-69.3632,10.85,88,99,3.8,overcast clouds
136,Bambous Virieux,MU,-20.3428,57.7575,81.0,89,40,11.5,scattered clouds
137,Berlevag,NO,70.8578,29.0864,21.2,73,75,21.85,snow
138,Geraldton,AU,-28.7667,114.6,69.8,78,75,9.22,broken clouds
139,Mahibadhoo,MV,3.7833,72.9667,81.75,72,53,16.69,broken clouds
140,Norman Wells,CA,65.282,-126.8329,-22.0,76,75,1.97,light snow
141,Saskylakh,RU,71.9167,114.0833,-38.31,78,25,11.92,scattered clouds
142,Kamskiye Polyany,RU,55.4307,51.4171,-4.0,77,90,15.66,snow
143,Castro,BR,-24.7911,-50.0119,73.99,44,0,3.2,clear sky
144,Tignere,CM,7.3667,12.65,87.19,13,94,7.2,overcast clouds
145,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,90,13.8,snow
146,Ponta Do Sol,PT,32.6667,-17.1,63.0,70,85,4.0,overcast clouds
147,Shingu,JP,33.7333,135.9833,42.28,79,0,5.91,clear sky
148,Avarua,CK,-21.2078,-159.775,77.0,88,40,5.75,scattered clouds
149,Yar-Sale,RU,66.8333,70.8333,-11.22,90,100,24.7,light snow
150,Carnarvon,AU,-24.8667,113.6333,78.8,100,40,12.66,scattered clouds
